Pays,Ville,Année,Mois,Température (°C),Humidité (%),Vent (m/s),Pression (hPa),Score Météo
Vatican City,Vatican City,2024,5,23.941176470588236,53.11764705882353,4.547422,1012.2352941176471,95.29411764705883
Vatican City,Vatican City,2024,6,29.23,39.03333333333333,4.865779666666667,1013.5666666666667,84.33333333333333
Vatican City,Vatican City,2024,7,34.272413793103446,33.13793103448276,4.660956827586207,1012.0689655172414,73.79310344827586
Vatican City,Vatican City,2024,8,34.71935483870968,34.70967741935484,3.8136505806451617,1011.7741935483871,74.83870967741936
Vatican City,Vatican City,2024,9,25.493333333333332,56.43333333333333,2.9629866666666667,1012.8,86.33333333333333
Vatican City,Vatican City,2024,10,20.883870967741935,72.80645161290323,2.611132,1018.1290322580645,77.74193548387096
Vatican City,Vatican City,2024,11,13.923333333333334,74.76666666666667,2.5166868000000004,1020.7666666666667,72.83333333333333
Vatican City,Vatican City,2024,12,10.24516129032258,70.06451612903226,2.8709907096774194,1019.9354838709677,73.87096774193549
Vatican City,Vatican City,2025,1,12.019354838709678,75.25806451612904,3.6604235483870973,1019.6451612903226,68.87096774193549
Vatican City,Vatican City,2025,2,11.396428571428572,76.78571428571429,2.1101359285714287,1022.3928571428571,71.78571428571429
Vatican City,Vatican City,2025,3,13.738709677419356,72.93548387096774,2.772423612903226,1015.0967741935484,72.41935483870968
Vatican City,Vatican City,2025,4,16.96333333333333,68.9,2.7666888,1015.1666666666666,73.16666666666667
Vatican City,Vatican City,2025,5,20.44516129032258,64.06451612903226,2.7007384516129034,1014.5483870967741,78.54838709677419
Vatican City,Vatican City,2025,6,28.506666666666668,46.833333333333336,2.4972422000000005,1017.5333333333333,86.66666666666667
Vatican City,Vatican City,2025,7,32.88,38.0,2.000016,1016.4,80.0
