Pays,Ville,Année,Mois,Température (°C),Humidité (%),Vent (m/s),Pression (hPa),Score Météo
Vietnam,Ban Lom,2024,6,26.549999999999997,92.75,1.555568,1005.0,70.0
Vietnam,Ban Lom,2024,7,25.65909090909091,95.36363636363636,1.2676869090909093,1004.0,69.54545454545455
Vietnam,Ban Lom,2024,8,25.64516129032258,93.51612903225806,1.2016225161290326,1006.1935483870968,76.61290322580645
Vietnam,Ban Lom,2024,9,26.02,91.3,1.2120467333333336,1005.7333333333333,68.0
Vietnam,Ban Lom,2024,10,26.63225806451613,75.38709677419355,1.5107647741935484,1011.2903225806451,74.19354838709677
Vietnam,Ban Lom,2024,11,25.12,65.7,1.6750134,1014.0666666666667,80.33333333333333
Vietnam,Ban Lom,2024,12,18.5,77.38709677419355,1.724028129032258,1016.516129032258,73.2258064516129
Vietnam,Ban Lom,2025,1,20.187096774193545,56.03225806451613,1.6792249032258066,1015.4516129032259,82.90322580645162
Vietnam,Ban Lom,2025,2,21.839285714285715,66.07142857142857,2.2718435714285716,1014.1785714285714,75.0
Vietnam,Ban Lom,2025,3,28.99032258064516,40.483870967741936,2.519733419354839,1009.3870967741935,80.48387096774194
Vietnam,Ban Lom,2025,4,30.666666666666668,51.13333333333333,2.0120531333333336,1007.1,70.5
Vietnam,Ban Lom,2025,5,30.42258064516129,63.83870967741935,1.802881806451613,1005.8064516129032,67.09677419354838
Vietnam,Ban Lom,2025,6,29.966666666666665,76.63333333333334,1.4814933333333336,1003.2333333333333,60.0
Vietnam,Ban Lom,2025,7,28.22,85.8,1.5000120000000003,1004.6,59.0
