Pays,Ville,Année,Mois,Température (°C),Humidité (%),Vent (m/s),Pression (hPa),Score Météo
Yemen,Sanaa,2024,5,26.3,20.235294117647058,5.714098,1011.2941176470588,88.23529411764706
Yemen,Sanaa,2024,6,26.836666666666666,20.4,5.807453866666667,1008.7333333333333,84.33333333333333
Yemen,Sanaa,2024,7,24.553571428571427,34.785714285714285,3.981182642857143,1008.5714285714286,80.35714285714286
Yemen,Sanaa,2024,8,23.703225806451613,42.70967741935484,3.4256546451612904,1008.6451612903226,82.58064516129032
Yemen,Sanaa,2024,9,25.44,19.8,5.4333768000000005,1010.6333333333333,87.0
Yemen,Sanaa,2024,10,22.44516129032258,24.93548387096774,3.6442943870967746,1014.7096774193549,87.74193548387096
Yemen,Sanaa,2024,11,19.896666666666665,24.666666666666668,1.6324204666666668,1016.1,79.66666666666667
Yemen,Sanaa,2024,12,20.838709677419356,16.451612903225808,2.019729419354839,1015.1612903225806,81.61290322580645
Yemen,Sanaa,2025,1,20.493548387096773,20.677419354838708,2.277796,1014.516129032258,80.96774193548387
Yemen,Sanaa,2025,2,23.217857142857145,16.428571428571427,3.0783976428571433,1013.2857142857143,96.78571428571429
Yemen,Sanaa,2025,3,22.296774193548387,25.774193548387096,3.3396324516129035,1014.516129032258,87.41935483870968
Yemen,Sanaa,2025,4,23.873333333333335,18.666666666666668,3.2565075333333335,1013.9333333333333,96.0
Yemen,Sanaa,2025,5,25.783870967741933,15.709677419354838,4.558280193548388,1012.7741935483871,91.93548387096774
Yemen,Sanaa,2025,6,26.89333333333333,12.4,4.7157784666666664,1011.2,92.0
Yemen,Sanaa,2025,7,26.639999999999997,18.0,2.1000168,1010.4,100.0
