Pays,Ville,Année,Mois,Température (°C),Humidité (%),Vent (m/s),Pression (hPa),Score Météo
Zambia,Lusaka,2024,5,23.91176470588235,32.11764705882353,3.8121220000000005,1016.2941176470588,95.88235294117646
Zambia,Lusaka,2024,6,24.14,27.5,3.4435460666666673,1016.4333333333333,88.0
Zambia,Lusaka,2024,7,27.67241379310345,14.03448275862069,2.8707126206896554,1014.5172413793103,91.72413793103448
Zambia,Lusaka,2024,8,28.27741935483871,15.612903225806452,3.876375096774194,1014.9354838709677,86.7741935483871
Zambia,Lusaka,2024,9,30.13,19.366666666666667,4.052810200000001,1013.2333333333333,83.0
Zambia,Lusaka,2024,10,29.187096774193552,26.225806451612904,4.025121806451613,1013.7741935483871,81.29032258064517
Zambia,Lusaka,2024,11,28.566666666666666,40.6,3.6333624000000007,1012.4666666666667,78.16666666666667
Zambia,Lusaka,2024,12,31.112903225806452,32.67741935483871,3.0654367096774195,1010.3548387096774,77.41935483870968
Zambia,Lusaka,2025,1,23.358064516129033,73.09677419354838,2.776903935483871,1011.0967741935484,69.83870967741936
Zambia,Lusaka,2025,2,23.575,75.64285714285714,2.7480378571428576,1011.3928571428571,73.92857142857143
Zambia,Lusaka,2025,3,23.503225806451614,67.25806451612904,3.4238625161290326,1014.741935483871,82.90322580645162
Zambia,Lusaka,2025,4,23.626666666666665,60.833333333333336,4.013921,1015.9,82.16666666666667
Zambia,Lusaka,2025,5,21.729032258064517,49.45161290322581,4.064548645161291,1020.3870967741935,83.38709677419355
Zambia,Lusaka,2025,6,21.456666666666667,40.36666666666667,3.7750302000000007,1021.1,85.33333333333333
Zambia,Lusaka,2025,7,20.419999999999998,45.8,4.4389244,1021.8,78.0
